NombreServicioTuristico,ClasificacionId,Clasificacion,CategoriaId,Categoria,SubCategoriaId,SubCategoria,Direccion,CorreoElectronico,SitioWeb,Telefono,CodDepartamento,CodProvincia,CodDistrito,NombreDepartamento,NombreProvincia,NombreDistrito,Ruc,Siglas,NombreEmpresa,FechaRegistroDatosEmpresa,FechaActualizacionDatosEmpresa
Cruz del Sur,2203,TRANSPORTE,220301,Terrestre,22030101,Transporte Terrestre Nacional,Terminal Terrestre Manuel A. Odr?a (Mod. 16-17),"",www.cruzdelsur.com.pe,(052) 426692 / (052) 425729,23,1,1,Tacna,Tacna,Tacna,20100227461,Cruz del Sur,Transportes Cruz del Sur S.A.C.,19/08/2003,1/10/2024
Hotel Monasterio San Pedro,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220101,Hoteles,22010103,H.3 Estrellas,Cl. Ccascaparo 116,hotelmonasteriosanpedro@gmail.com,www.hotelmonasteriosanpedro.com/,(084) 252131 / 994307133,8,1,1,Cusco,Cusco,Cusco,20490536656,Hotel Monasterio San Pedro,Delicias Gastronomicas S.A.C.,25/02/2021,31/10/2024
Copasu Hotel,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220101,Hoteles,22010103,H.3 Estrellas,Av. Ernesto Rivero N?540,copasuhotel@gmail.com,www.copasuhotel.com.pe,(082) 351477 / 958 191 255,17,1,1,Madre de Dios,Tambopata,Tambopata,20602693105,Copasu Hotel,Copasu Hotel E.I.R.L.,17/09/2018,26/10/2024
Hostal Coral,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220103,Hostales,22010302,Hs.2 Estrellas,Cl. Jos? Galvez Mz. H lT. 6 (Urb. Mar?timos),tacahuay@hotmail.com,"",(053) 483508 / 949221047,18,3,1,Moquegua,Ilo,Ilo,20532879052,Hostal Coral,Servicios Turisticos Takahuay E.I.R.L.,4/01/2021,9/10/2024
Megavacaciones,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Ca. Apurimac N? 107,operaciones@viajeslafayette.com,www.viajeslafayette.com,(51)(052) 427575,23,1,1,Tacna,Tacna,Tacna,20519976545,Megavacaciones,Viajes Lafayette SAC,12/02/2021,17/10/2024
Clinica San Pablo - Trujillo,2208,SALUD,220802,Cl?nicas,220802,Cl?nicas,"Urb La Merced, Av. H?sares de Jun?n 690, Trujillo 13008",pacienteinternacional@sanpablo.com.pe,https://www.sanpablotrujillo.com.pe/,(044) 485 244 / 981 492 808,13,1,1,La Libertad,Trujillo,Trujillo,20544206410,Clinica San Pablo - Trujillo,CLINICA LA MERCED S.A.C.,21/10/2024,21/10/2024
Cruz del Sur,2203,TRANSPORTE,220301,Terrestre,22030101,Transporte Terrestre Nacional,Terminal Terrestre s/n,"",www.cruzdelsur.com.pe,(01) 311 5050 / 0801 11111 / (054) 213905 / 720444,4,1,7,Arequipa,Arequipa,Jacobo Hunter,20100227461,Cruz del Sur,Transportes Cruz del Sur S.A.C.,19/08/2003,1/10/2024
Cruz del Sur,2203,TRANSPORTE,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Tumbes Norte 319,www.cruzdelsur.com.pe,www.cruzdelsur.com.pe,944349298,24,1,1,Tumbes,Tumbes,Tumbes,20100227461,Cruz del Sur,Transportes Cruz del Sur S.A.C.,19/08/2003,1/10/2024
Pitahaya Lounge,2204,ENTRETENIMIENTO,220409,Bares/Pubs,220409,Bares/Pubs,Cl. Bolognesi 498,Reservas.pitahayalounge@gmail.com,https://pitahaya.cluvi.pe/,WhatsApp: 991025209,15,1,22,Lima,Lima,Miraflores,20510522690,Pitahaya Lounge,Pitahaya EIRL,29/08/2023,10/10/2024
Illapa Transportes Tur?sticos,2203,TRANSPORTE,220301,Terrestre,22030102,Transporte tur?stico,Ps. Espa?a 116 - Av. Pardo - Centro Hist?rico,illapa@illapa.com,http://illapatransportes.com/es,(084) 234318,8,1,1,Cusco,Cusco,Cusco,20443187767,Illapa Transportes Tur?sticos,Empresa de Transportes Tur?sticos Illapa S.R.L,7/06/2011,15/10/2024
La Taberna de los H?sares,2202,ALIMENTOS Y BEBIDAS,220205,Restaurantes de Carnes y Parrillas,220205,Restaurantes de Carnes y Parrillas,Jr. H?sares de Jun?n 289 Urb. La Merced,"","",(044) 252011,13,1,1,La Libertad,Trujillo,Trujillo,20477455353,La Taberna de los H?sares,Aleni SAC,12/04/2007,17/10/2024
Miski Warak,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Jr. Dos de mayo 735,miskiwarak@gmail.com; marian_23@hotmail.com,bit.ly/3QykHQX,985261999,1,1,1,Amazonas,Chachapoyas,Chachapoyas,10062572553,Miski Warak,Miski Warak,31/10/2023,4/10/2024
Per? By Locals,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,APV. Jose de San Martin S/N,info@perubylocals.com ; perubylocalstravel@gmail.com,www.perubylocals.com,989585967,8,1,5,Cusco,Cusco,San Sebasti?n,20600696042,Per? By Locals,Peru By Locals S.A.C.,7/10/2024,7/10/2024
Costamar Travel,2205,AGENCIAS DE VIAJES Y TURISMO,220501,Agencias Mayoristas,220501,Agencias Mayoristas,"Jr. Pizarro 568, Pasaje peatonal",grp.vacacionestrujillo@costamar.com.pe,www.costamar.com,(044) 643140,13,1,1,La Libertad,Trujillo,Trujillo,20126339632,Costamar Travel,Costamar travel cruise & tours S.A.C.,16/06/2022,17/10/2024
Donce Extremo Lodge,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Km 6 carretera Pedro Ruiz - Chachapoyas,donceextremo@gmail.com,-,920292924,1,3,7,Amazonas,Bongar?,Jaz?n,20608805924,Donce Extremo Lodge,DONCE EXTREMO,1/02/2024,4/10/2024
Selva M?gica,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Pj. San Jos? S/N ? Barrio Miraflores,reservas@selvamagica.com.pe; administracion@selvamagica.com.pe,selvamagica.com.pe,910511367,19,3,1,Pasco,Oxapampa,Oxapampa,20612186457,Selva M?gica,Selva M?gica E.I.R.L.,10/10/2024,10/10/2024
Peruvian Landscapes,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Av. Jose Luis de Orbegozo B-1 Condominio Villa Huancaro Dpto. 407 Torre 2,info@peruvianls.com,www.peruvianls.com/,969778736,8,1,6,Cusco,Cusco,Santiago,20612775487,Peruvian Landscapes,Inversiones Peruvian Landscapes E.I.R.L.,19/10/2024,19/10/2024
Hospital Victor Lazarte Echegaray - Essalud,2208,SALUD,220801,Hospitales,220801,Hospitales,"Prol. Union 1375, Trujillo 13006",consultas.viva@essalud.gob.pe,https://www.essalud.gob.pe/hospital-lazarte-de-essalud-la-libertad-a-l,949 477 831,13,1,1,La Libertad,Trujillo,Trujillo,20601660998,Hospital Victor Lazarte Echegaray - Essalud,EL CUERPO MEDICO DEL HOSPITAL VICTOR LAZARTE ECHEGARAY ESSALUD-TRUJILLO,17/10/2024,17/10/2024
Han Muy,2202,ALIMENTOS Y BEBIDAS,220221,Chifas,220221,Chifas,Mz.7 LT 11- Urb. Los Jardines del Golf,"",https://www.chifahanmuy.com/,(044) 533506 / 948395455 / 948836360,13,1,1,La Libertad,Trujillo,Trujillo,20481633606,Han Muy,Servicios de Alimentos M&A SAC,11/04/2007,17/10/2024
Preference Tours,2205,AGENCIAS DE VIAJES Y TURISMO,220502,Agencias Minoristas,220502,Agencias Minoristas,"Cl. Grau 427, Tumbes",turismomundial@hotmail.com,"",(072) 525518 / 972617054,24,1,1,Tumbes,Tumbes,Tumbes,20367016681,Preference Tours,Preference Tours and Service E.I.R.L.,9/10/2002,1/10/2024
Machupicchu Terra,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Recoleta 208,info@machupicchuterra.com,https://www.machupicchuterra.com/es/;,982751814 / 952360153,8,1,8,Cusco,Cusco,Wanchaq,20564091490,Machupicchu Terra,Machupicchu Terra S.R.L,13/03/2014,18/10/2024
Wasai Lodge & Expeditions,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Jr. Billinghurst Mz C Lote 02,wasai@wasai.com; reservas@wasai.com,www.wasai.com,(082) 572290 / 979 735 902 / 916 654 425,17,1,1,Madre de Dios,Tambopata,Tambopata,20602280277,Wasai Lodge & Expeditions,Hotel Puerto Maldonado E.I.R.L,2/02/2005,26/10/2024
Avalos Tours,2203,TRANSPORTE,220301,Terrestre,22030102,Transporte tur?stico,Av. Las Am?ricas H-16,administracion@avalostours.com; reservascusco@avalostours.com; reservaspuno@avalostours.com,www.avalostours.com,984673323 / 991880077,8,1,8,Cusco,Cusco,Wanchaq,20443112911,Avalos Tours,Avalos Tours E.I.R.L.,8/12/2023,15/10/2024
Casa Blanca Restaurante Campestre,2202,ALIMENTOS Y BEBIDAS,220208,Restaurantes Campestres y Centros Recreacionales,220208,Restaurantes Campestres y Centros Recreacionales,La General Nro. S/N Sec. Campi?a de Moche,corpcb@gmail.com,restaurantcasablanca.pe,944 222 601,13,1,1,La Libertad,Trujillo,Trujillo,20601709016,Casa Blanca Restaurante Campestre,INVERSIONES CASA BLANCA A & A S.A.C.,18/10/2024,18/10/2024
Tumi de Oro J y G,2203,TRANSPORTE,220301,Terrestre,22030103,Taxis,Jr. Nemesio Raez 3242,delacruzromannestor@gmail.com,"",958006655,12,4,1,Jun?n,Jauja,Jauja,20605700625,Tumi de Oro J y G,J & G Tumi de Oro Sociedad Comercial de Responsabilidad Limitada,21/10/2024,21/10/2024
Mar Azul,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220103,Hostales,22010301,Hs.3 Estrellas,Cl. Alan Garcia Mz. B Lote 20,hmarazulparacas@hotmail.com,"",(056) 534542,11,5,5,Ica,Pisco,Paracas,20494248337,Mar Azul,Inversiones Mar Azul S.R.L.,25/07/2012,31/10/2024
Sangucheria El Chinito,2202,ALIMENTOS Y BEBIDAS,220228,Sangucher?a,220228,Sangucher?a,"Jr. Chancay 984, Esquina con Zepita",contacto@elchinito.com.pe,www.elchinito.com.pe,(01) 4232197 / 994077343,15,1,1,Lima,Lima,Cercado de Lima,20502303253,Sangucheria El Chinito,ZAO WANG S.A.C.,3/12/2014,17/10/2024
Casa hospedaje D`Green Lodge,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Av. Alberto Muller S/N,elicorvi2@hotmail.com,"",943788706,19,3,2,Pasco,Oxapampa,Chontabamba,10043218340,Casa hospedaje D`Green Lodge,Verde Loechle Otto Carlos,18/07/2021,19/10/2024
Siba Tours,2205,AGENCIAS DE VIAJES Y TURISMO,220502,Agencias Minoristas,220502,Agencias Minoristas,Av. Grau 259,lourdeskolichsaponara@hotmail.com,"",989640358,15,2,1,Lima,Barranca,Barranca,10156371861,Siba Tours,Kolich De Uzategui Maria Lourdes,25/01/2023,31/10/2024
Kenko Adventure Per?,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Wiracochan S/N (Com. Ccollana),info@kenkoadventures.com,www.kenkoadventures.com,921747871 /  916770868,8,1,4,Cusco,Cusco,San Jer?nimo,20603686340,Kenko Adventure Per?,Kenko Adventures Peru E.I.R.L.,7/10/2024,7/10/2024
El Marisco del Amor,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Av. Jes?s de Nazareth 510 Urb. San Nicol?s,juanavald@gmail.com,"",(044) 201053,13,1,1,La Libertad,Trujillo,Trujillo,20481302758,El Marisco del Amor,Norte Marino S.A.C,15/04/2013,21/10/2024
ROKY?S,2202,ALIMENTOS Y BEBIDAS,220217,Poller?a,220217,Poller?a,Av. America Norte 2402 - Urb Primavera,"","",(044) 231623,13,1,1,La Libertad,Trujillo,Trujillo,20514189995,ROKY?S,Inversiones America Norte S.A.C.,7/05/2013,17/10/2024
Norky?s,2202,ALIMENTOS Y BEBIDAS,220217,Poller?a,220217,Poller?a,Jr. de la Uni?n 748,"",www.norkys.pe,(01) 644-9100 / 996411399,15,1,1,Lima,Lima,Cercado de Lima,20515694740,Norky?s,Ayame S.A.C.,15/11/2023,10/10/2024
Finkas Coffee,2202,ALIMENTOS Y BEBIDAS,220206,Caf?s,220206,Caf?s,"Jr. Grau 505, 2do piso",finkascoffee@gmail.com,"",996923957,1,1,1,Amazonas,Chachapoyas,Chachapoyas,10334078219,Finkas Coffee,Christoph Crecino Alva Reyna,31/10/2024,31/10/2024
Pollos Kikiriki,2202,ALIMENTOS Y BEBIDAS,220217,Poller?a,220217,Poller?a,Av. Espa?a 2359,polleria.kikiriki.chicken@gmail.com,"",(044) 245480,13,1,1,La Libertad,Trujillo,Trujillo,20482705228,Pollos Kikiriki,Zavian S.A.C.,6/05/2013,17/10/2024
Marisquer?a El mar picante,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,Av. Ricardo Palma 118,"","",922348888,12,4,1,Jun?n,Jauja,Jauja,10462384349,Marisquer?a El mar picante,Galarza Pecho Mar?a Jesus,16/10/2024,16/10/2024
Van Gogh Cafe & Arte,2202,ALIMENTOS Y BEBIDAS,220206,Caf?s,220206,Caf?s,Jr. Miguel Grau 506,orlandodelgadochuquizuta@gmail.com,-,983546078 / 947915650,1,5,1,Amazonas,Luya,L?mud,20608545558,Van Gogh Cafe & Arte,Laudato Servicios Genarales S.A.C,24/10/2024,24/10/2024
Descumbre Viajes & Boutique,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Zela 803,info@descumbreperu.com,www.descumbreperu.com,977571250 / 982326888,23,1,1,Tacna,Tacna,Tacna,20602803962,Descumbre Viajes & Boutique,Descumbre E.I.R.L.,21/12/2015,18/10/2024
Rafa Tours,2203,TRANSPORTE,220301,Terrestre,22030103,Taxis,Jr. Tumbes Mz. H. Lote 4,rafatourssac@gmail.com,"",964094342 / 943618777,12,4,1,Jun?n,Jauja,Jauja,20568464177,Rafa Tours,Rafa Tours M $ R S.A. C.,21/10/2024,21/10/2024
Cruz del Sur,2203,TRANSPORTE,220301,Terrestre,22030101,Transporte Terrestre Nacional,Terminal Terrestre - Jr. Loechle Cdra 9 Int. oficina 1,servicioalcliente@gibarcena.com.pe,www.cruzdelsur.com.pe,(01) 311- 5050,19,3,1,Pasco,Oxapampa,Oxapampa,20100227461,Cruz del Sur,Transportes Cruz del Sur S.A.C.,19/08/2003,1/10/2024
Hospedaje Miraflores,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Calle Los Claveles S/N cuadra 01,maryomy.heymi@gmail.com,"",960887509 / 931965321,19,3,7,Pasco,Oxapampa,Villa Rica,10443257999,Hospedaje Miraflores,Perez Gutierrez Marisol,26/12/2021,19/10/2024
Operador Tur?stico Gu?as del Norte,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Prolongaci?n Manglares S/N - Centro Poblado Puerto Pizarro,guiasdelnorte2017@gmail.com,"",950946937,24,1,1,Tumbes,Tumbes,Tumbes,10442890710,Operador Tur?stico Gu?as del Norte,Operador Tur?stico Gu?as del Norte,4/10/2023,1/10/2024
El Bolivariano,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Psj. Rosa Toledo 289 - 291,reservas@elbolivariano.com,www.elbolivariano.com,(01) 463-0434 / (01) 261-9565,15,1,21,Lima,Lima,Pueblo Libre,20112750798,El Bolivariano,Queirolo de Barbieri SAC.,21/09/1999,23/10/2024
Cebicherias Piscis,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,"Fray Bartolom? de las Casas 241, Urb. Los Jardines",piscisbartolome3@gmail.com,www.piscis.pe,977890746,15,1,35,Lima,Lima,San Mart?n de Porres,20603734131,Cebicherias Piscis,Piscis Buffet & Catering E.I.R.L.,20/10/2014,23/10/2024
Hostal Casa Ku?lap,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220103,Hostales,22010302,Hs.2 Estrellas,Jr. Santa Ana 1162,casakuelap@gmail.com,www.casakuelap.com,945600330,1,1,1,Amazonas,Chachapoyas,Chachapoyas,10334087056,Hostal Casa Ku?lap,Hostal Casa Ku?lap,21/10/2023,4/10/2024
Alojamiento Residencial Huaylla Belen,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220107,Hospedaje no Categorizado,220107,Hospedaje no Categorizado,Jr. Garcilaso de la Vega 293,-,-,943022703,1,5,1,Amazonas,Luya,L?mud,10337820111,Alojamiento Residencial Huaylla Belen,Jose Walter Torrejo Rodriguez,24/10/2024,24/10/2024
La Botica Taberna,2204,ENTRETENIMIENTO,220409,Bares/Pubs,220409,Bares/Pubs,Av. Petit Thouars 3910,tabernalabotica@gmail.com,"",992 173 191,15,1,31,Lima,Lima,San Isidro,20544343751,La Botica Taberna,Fratello Representaciones S.A.C,24/08/2023,10/10/2024
Cebicherias Piscis,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,"Av. Gran Chim? 406, Urb. Z?rate","",www.piscis.pe,955242732,15,1,32,Lima,Lima,San Juan de Lurigancho,20603734131,Cebicherias Piscis,Piscis Buffet & Catering E.I.R.L.,20/10/2014,23/10/2024
Explorer's Inn,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Av. Circunvalaci?n 2621 Mz L Lote 1,sales@explorersinn.com,www.explorersinn.com,950 186 820 / 983 006 097 / 982 198 537,17,1,1,Madre de Dios,Tambopata,Tambopata,20134994038,Explorer's Inn,Peruvian Safaris S.A.,22/10/2002,26/10/2024
Plaza Apart Hotel,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220102,Apart Hoteles,22010203,AH.3 Estrellas,Jr. Leoncio Prado 118,plazahotelapart@gmail.com,www.plazahotelpasco.com,974559569,19,1,1,Pasco,Pasco,Chaupimarca,10075142132,Plaza Apart Hotel,Laureano Mauricio Herless,6/11/2019,19/10/2024
Sal?n de la Felicidad,2202,ALIMENTOS Y BEBIDAS,220221,Chifas,220221,Chifas,Jr. Paruro 795,siuseychung@hotmail.com,"",908 773 364,15,1,1,Lima,Lima,Cercado de Lima,20508694661,Sal?n de la Felicidad,Empresa Wa Heng S.A.C,20/10/2014,17/10/2024
Eduardo el Brujo,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,AV. FAUSTINO PIAGGIO NRO. 072 (AL COSTADO DEL MALECON) TUMBES - CONTRALMIRANTE VILLAR - ZORRITOS,informes.ayw@gmail.com,"",(+51)972678640,24,2,1,Tumbes,Contralmirante Villar,Zorritos,20609176467,Eduardo el Brujo,Restaurant A&W E.I.R.L,22/06/2022,1/10/2024
Cruz del Sur,2203,TRANSPORTE,220301,Terrestre,22030101,Transporte Terrestre Nacional,Cl. Gerardo Unger 6917 Terminal Plaza Norte,"",www.cruzdelsur.com.pe,(01) 311-5050,15,1,12,Lima,Lima,Independencia,20100227461,Cruz del Sur,Transportes Cruz del Sur S.A.C.,19/08/2003,1/10/2024
Puerto Mancora,2202,ALIMENTOS Y BEBIDAS,220203,Restaurantes Pescados & Mariscos,220203,Restaurantes Pescados & Mariscos,Av. Javier Prado Este 6768,"",www.puertomancora.com,949943806,15,1,14,Lima,Lima,La Molina,20505676301,Puerto Mancora,Puerto Mancora  E.I.R.L,5/08/2008,18/10/2024
Rep?blica del Pisco,2204,ENTRETENIMIENTO,220409,Bares/Pubs,220409,Bares/Pubs,Cl. Bolivar 215,reservaslima@republicadelpisco.com,https://www.republicadelpisco.com/,922617163,15,1,22,Lima,Lima,Miraflores,20603523602,Rep?blica del Pisco,Restaurante 11:11 E.I.R.L.,29/08/2023,10/10/2024
Transportes Tumi de Oro,2203,TRANSPORTE,220301,Terrestre,22030103,Taxis,Jr. Calixto 419,cdiazcerr@gmail.com,"",941816232,12,4,1,Jun?n,Jauja,Jauja,20568847262,Transportes Tumi de Oro,J & A Tumi de Oro Transporte S.A.,21/10/2024,21/10/2024
Albatroz Travel,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Cl. Bolivar 509,ventasalbatroztravel@hotmail.com,www.albatroztravel.com,(052) 246969,23,1,1,Tacna,Tacna,Tacna,20532997179,Albatroz Travel,Albatroz Travel S.A.C.,5/01/2015,17/10/2024
Transporte y Turismo Prado Hnos,2203,TRANSPORTE,220301,Terrestre,22030102,Transporte tur?stico,Av. Coorpac 219,agenciadeviajesyturismoprado@gmail.com,"",989454954,5,1,16,Ayacucho,Huamanga,Andr?s Avelino C?ceres Dorregaray,20604061211,Transporte y Turismo Prado Hnos,Transporte y Turismo Prado Hnos S.R.L,25/10/2024,25/10/2024
Sabor Tumbesino,2202,ALIMENTOS Y BEBIDAS,220202,Restaurantes comida Peruana,220202,Restaurantes comida Peruana,Av. Faustino Piaggio 121,satumjph@hotmail.com,"",(+51) 946248804 / (+51) 972500816,24,2,1,Tumbes,Contralmirante Villar,Zorritos,20607140619,Sabor Tumbesino,JYJG Inversiones y Servicios S.A.C.,16/06/2022,1/10/2024
Ambra Rooftop Bar,2204,ENTRETENIMIENTO,220409,Bares/Pubs,220409,Bares/Pubs,Av. Jos? Larco 1185,reservas@ambrarooftopbar.com,https://www.pullmanlimamiraflores.pe/restaurantes-bares/ambra-rooftop-,970733048,15,1,22,Lima,Lima,Miraflores,20600497481,Ambra Rooftop Bar,Attko S.A.C.,17/08/2023,10/10/2024
Madbar,2204,ENTRETENIMIENTO,220409,Bares/Pubs,220409,Bares/Pubs,Guardia Civil 727,reservas@madbar.pe,https://bth.pe/eat-and-drink/madbar,01-3195300 / 986651906,15,1,30,Lima,Lima,San Borja,20303368877,Madbar,Figtur S.A,21/08/2023,10/10/2024
Hostal Central,2201,ESTABLECIMIENTOS DE HOSPEDAJE,220103,Hostales,22010303,Hs.1 Estrella,Jr Ayacucho 321,nelsonilo71@gmail.com,"",053 792337,18,3,1,Moquegua,Ilo,Ilo,10046382779,Hostal Central,SUCESION INDIVISA ALVARO QUISPE SIMON,5/10/2024,5/10/2024
Cruz del Sur,2203,TRANSPORTE,220301,Terrestre,22030101,Transporte Terrestre Nacional,Av. Javier Prado Este 1109,"",www.cruzdelsur.com.pe,(01) 311-5050,15,1,15,Lima,Lima,La Victoria,20100227461,Cruz del Sur,Transportes Cruz del Sur S.A.C.,19/08/2003,1/10/2024
Business travel,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Ca. Alto Lima 1480,businessperuinternacional@hotmail.com,https://bit.ly/3bZh9IT,950309140 / 949920738,23,1,1,Tacna,Tacna,Tacna,20532691177,Business travel,Business Per? Internacional S.R.L.,2/05/2013,17/10/2024
Lluvias Eternas,2205,AGENCIAS DE VIAJES Y TURISMO,220503,Operador de Turismo,220503,Operador de Turismo,Sector Yulitunqui ? Lluvias Eternas,lluviaseternas3@gmail.com,"",959496959 / 960394189,19,3,5,Pasco,Oxapampa,Pozuzo,10402313183,Lluvias Eternas,Orizano Gonzales David Elmer,10/10/2024,10/10/2024
